S.No.,Timestamp,QuestionId,ResponseId,QuestionDesc,ResultText,ResultTextPred,Summary,SentimentRating,access_to_resources/info,Communication/Responsiveness,Customer Service/Support,Delivery,General Negative,General Positive,Immaterial Feedback,Installation,Knowledge/Expertise,Meet Needs/Requirements/Commitments
17,02/10/2022 03:55:14,_1_Q05_TR_3,R_3KTLCcbIumD74I5,Other Reason for Ability to Diagnose Issue,Telefonat wurde nur auf Englisch geführt - bei Fachausdrücken sehr schwierig,The phone call was only conducted in English - very difficult with technical terms,phone call conducted in english - very difficult with technical terms,2,0,0,0,0,0,0,0,0,0,0
18,02/10/2022 03:55:14,_1_Q05_TR_3,R_0rK0lrwOjH41C6h,Other Reason for Ability to Diagnose Issue,??????line,Companies cannot use line,Companies cannot use line,3,0,0,0,0,0,0,0,0,0,0
19,02/10/2022 03:55:14,_1_Q05_TR_3,R_3UHuunRpB5BxmF7,Other Reason for Ability to Diagnose Issue,svært når man får fat i en som taler engelsk og ikke dansk,difficult when you get hold of someone who speaks English and not Danish,difficult when you get hold of someone who speaks English and not Danish,2,0,0,0,0,0,0,0,0,0,0
20,02/10/2022 03:55:14,_1_Q05_TR_3,R_6gMQzdtzjTdAAxn,Other Reason for Ability to Diagnose Issue,Un problema lo resolví muy bien pero tenía otra duda y debía dirigirme a otra persona,I solved a problem very well but I had another question and had to contact someone else,I solved a problem very well but I had another question and had to contact someone else,0,0,0,0,0,0,0,0,0,0,0
21,02/10/2022 03:55:14,_1_Q05_TR_3,R_6KAGGBoDjqSmrDD,Other Reason for Ability to Diagnose Issue,?????????????????????,"The reasons for the abnormal peaking of the equipment are complicated, so it has been delayed for a while.",reason for the abnormal peaking of the equipment are complicated and has been delayed,3,0,0,0,0,0,0,0,0,0,0
22,02/10/2022 03:55:14,_1_Q05_TR_3,R_aXgYCHW6oTPBFJ3,Other Reason for Ability to Diagnose Issue,Es ging um den Umzug. Es war ein langes hin und her. Bin selber aber auch nicht unschuldig.,It was about moving. It was a long back and forth. But I'm not innocent myself.,It was about moving. It was a long back and forth,0,0,0,0,0,0,0,0,0,0,0
23,02/10/2022 03:55:14,_1_Q05_TR_3,R_b78xnU8BdrVTgKp,Other Reason for Ability to Diagnose Issue,Die Beschreibung des Vorgehens war nicht detailiert.,The description of the procedure was not detailed,The description of the procedure was not detailed,2,0,0,0,0,0,0,0,0,0,0
24,02/10/2022 03:55:14,_1_Q05_TR_3,R_b7NzvT5gFBXJZVb,Other Reason for Ability to Diagnose Issue,praticamente nessuna possibilità di scelta se non la sostituzione,practically no option other than replacement,practically no option other than replacement,2,0,0,0,0,0,0,0,0,0,0
25,02/10/2022 03:55:14,_1_Q05_TR_3,R_e2PpS6hFZYNGfXL,Other Reason for Ability to Diagnose Issue,"Utanför supportavtal fås ingen hjälp via telefon, e-mail eller chat.","Outside of a support agreement, no help is available via phone, e-mail or chat.","Outside of a support agreement, no help is available",2,0,0,0,0,0,0,0,0,0,0
26,02/10/2022 03:55:14,_1_Q05_TR_3,R_e4fE0BVItonmq5n,Other Reason for Ability to Diagnose Issue,???????????,The level of after-sales engineers varies,level of after-sales engineers varies,2,0,0,0,0,0,0,0,0,0,0
27,02/10/2022 03:55:14,_1_Q05_TR_3,R_cA9cuEXAhRdynoF,Other Reason for Ability to Diagnose Issue,"We want to request a specific Eng to serve us, but your staff said it could not be done.","We want to request a specific Engineer to serve us, but your staff said it could not be done.",requested specific engineer but your staff said it could not be done,2,0,0,0,0,0,0,0,0,0,0
28,02/10/2022 03:55:14,_1_Q05_TR_3,R_d0EVFk6OBhfBHtr,Other Reason for Ability to Diagnose Issue,No pudimos detectar por teléfono cual era el problema real,We couldn't detect over the phone what the real problem was,We couldn't detect over the phone what the real problem was,2,0,0,0,0,0,0,0,0,0,0
29,02/10/2022 03:55:14,_1_Q05_TR_3,R_eP3lFThiecDGO7r,Other Reason for Ability to Diagnose Issue,????????????????????????????????,Some problems require on-site and professional engineers to confirm the problem and cannot be completely solved remotely.,Some problems require on-site and professional engineers to confirm the problem and cannot be completely solved remotely.,3,0,0,0,0,0,0,0,0,0,0
30,02/10/2022 03:55:14,_1_Q05_TR_3,R_6fg2Hg0oTp9OpQp,Other Reason for Ability to Diagnose Issue,"Pumpen werden seitens Agilent nicht repariert, es gibt kein Austauschprogramm, es blieb nur der Neukauf","Agilent does not repair pumps, there is no exchange program, the only option is to buy a new one","Agilent does not repair pumps, there is no exchange program",2,0,0,0,0,0,0,0,0,0,0
31,02/10/2022 03:55:14,_1_Q05_TR_3,R_8v59kxgfoGJz9Yh,Other Reason for Ability to Diagnose Issue,"Diagnose war schon vor der Kontaktaufnahme bekannt, somit nur Klärung des Austauschtermins pumpe notwendig","The diagnosis was already known before contact was made, so only clarification of the pump replacement date was necessary",clarification of the pump replacement date was necessary,2,0,0,0,0,0,0,0,0,0,0
32,02/10/2022 03:55:14,_1_Q05_TR_3,R_brzQBqrbUsk9TEN,Other Reason for Ability to Diagnose Issue,problema risolto,problem solved,problem solved,4,0,0,0,0,0,0,0,0,0,0
33,02/10/2022 03:55:35,_1_Q06_TR_3,R_elI1raK18ozei4R,Other Reason for Ease of Scheduling Onsite Service,"Es wäre einfacher, den Termin telefonisch zu vereinbaren anstatt einen Terminvorschlag per E-Mail zu erhalten und falls nicht passend, ebenfalls per E-Mail einen Gegenvorschlag zu machen.","It would be easier to arrange the appointment by telephone instead of receiving an appointment suggestion by email and, if not suitable, to also make a counter-suggestion by email",would be easier to arrange the appointment by telephone instead of receiving an appointment suggestion by email,4,0,0,0,0,0,0,0,0,0,0
34,02/10/2022 03:55:35,_1_Q06_TR_3,R_0whjr3M43CEnXcp,Other Reason for Ease of Scheduling Onsite Service,När vi förväntade oss att servicetekniker skulle bokas in fick vi istället instruktioner om hur vi själva skulle felsöka i flera steg.,"When we expected service technicians to be booked in, we instead received instructions on how to troubleshoot ourselves in several steps","When we expected service technicians to be booked in, we instead received instructions on how to troubleshoot",2,0,0,0,0,0,0,0,0,0,0
35,02/10/2022 03:55:35,_1_Q06_TR_3,R_cCibpbhYpOag7mB,Other Reason for Ease of Scheduling Onsite Service,Wartung aus 2017 wurde erst auf Nachfrage in 2018 durchgeführt,Maintenance from 2017 was only carried out upon request in 2018,Maintenance was only carried out upon request,2,0,0,0,0,0,0,0,0,0,0
36,02/10/2022 03:55:35,_1_Q06_TR_3,R_6o2t7NBU2l52K7H,Other Reason for Ease of Scheduling Onsite Service,?????????????????????????????????,It took a lot of effort on my part to become a reliable service representative,It took a lot of effort on my part to become a reliable service representative,3,0,0,0,0,0,0,0,0,0,0
37,02/10/2022 03:55:35,_1_Q06_TR_3,R_bd8unull7wMdmex,Other Reason for Ease of Scheduling Onsite Service,?????????????????,I didn't understand your question,I didn't understand your question,3,0,0,0,0,0,0,0,0,0,0
38,02/10/2022 03:55:35,_1_Q06_TR_3,R_0Dpg7FJubSIPzNz,Other Reason for Ease of Scheduling Onsite Service,??????????????????????????????????????????????????????????,"The sealed replacement part that was sent to me was defective and needed to be replaced again. The parts were sent without warning, so someone outside the department took care of them.",sealed replacement part that was sent to me was defective and needed to be replaced again,2,0,0,0,0,0,0,0,0,0,0
39,02/10/2022 03:55:35,_1_Q06_TR_3,R_cUty62MVvXIThqZ,Other Reason for Ease of Scheduling Onsite Service,NO TIENEN LA PIEZA DAÑADA EN INVENTARIO,THEY DO NOT HAVE THE DAMAGED PART IN INVENTORY,DO NOT HAVE THE DAMAGED PART IN INVENTORY,2,0,0,0,0,0,0,0,0,0,0
40,02/10/2022 03:55:35,_1_Q06_TR_3,R_cC5jPpVTIyXNXXn,Other Reason for Ease of Scheduling Onsite Service,??????????????????????????????,The schedule was busy and I had to make reservations far in advance,schedule was busy and I had to make reservations far in advance,3,0,0,0,0,0,0,0,0,0,0
41,02/10/2022 03:55:35,_1_Q06_TR_3,R_dj341nji7NrNyqp,Other Reason for Ease of Scheduling Onsite Service,pas de déplacement planifié tant que pas de commande d'une multitude de piéces ...,no trip planned as long as a multitude of parts are not ordered,no trip planned as long as a multitude of parts are not ordered,3,0,0,0,0,0,0,0,0,0,0
42,02/10/2022 03:55:23,_1_Q06_2,R_9ZhsB982Jem4LpH,Other Reason for Ease of Scheduling Onsite Service,planning proposed by me even given that a technician came to another device the next interview,planning proposed by me even given that a technician came to another device the next interview,planning proposed by me even given that a technician came to another device the next interview,2,0,0,0,0,0,0,0,0,0,0
43,02/10/2022 03:55:23,_1_Q06_2,R_8tRowQwXhpS7W4d,Other Reason for Ease of Scheduling Onsite Service,"Engineers failed to inform in advance the door directly to the company to lead to temporarily adjust the working arrangements, and to some extent.","Engineers failed to inform in advance the door directly to the company to lead to temporarily adjust the working arrangements, and to some extent",Engineers failed to inform in advance the door directly to the company to lead to temporarily adjust the working arrangements,2,0,0,0,0,0,0,0,0,0,0
44,02/10/2022 03:55:23,_1_Q06_2,R_8IKIBY2PuGDSjAN,Other Reason for Ease of Scheduling Onsite Service,"Not enough support for our region, so time of the service engineer is stretched quite thin.","Not enough support for our region, so time of the service engineer is stretched quite thin","Not enough support for our region, so time of the service engineer is stretched",2,0,0,0,0,0,0,0,0,0,0
45,02/10/2022 03:55:23,_1_Q06_2,R_eeXZklUA0UOlM21,Other Reason for Ease of Scheduling Onsite Service,There were many steps in order to schedule service.  I talked to at least 4 people to get service scheduled.,There were many steps in order to schedule service.  I talked to at least 4 people to get service scheduled,There were many steps in order to schedule service,2,0,0,0,0,0,0,0,0,0,0
46,02/10/2022 03:55:23,_1_Q06_2,R_eORM92cLihohqHb,Other Reason for Ease of Scheduling Onsite Service,"Planning responsible side Agilent, when we had to postpone (because of us) the carry-over was + 3 months","Planning responsible side Agilent, when we had to postpone (because of us) the carry-over was + 3 months","Planning responsible side Agilent, when we had to postpone",0,0,0,0,0,0,0,0,0,0,0
47,02/10/2022 03:55:23,_1_Q06_2,R_d3TFpG5KPqt5vW5,Other Reason for Ease of Scheduling Onsite Service,There's going to be a long time before a technician can be,There is going to be a long time before a technician can be,There is going to be a long time before a technician,2,0,0,0,0,0,0,0,0,0,0
48,02/10/2022 03:55:23,_1_Q06_2,R_2bM6sertMwrZ4P3,Other Reason for Ease of Scheduling Onsite Service,"lack of ability to call for warranty letter, even for a stable organization with a complex structure of budget planning","lack of ability to call for warranty letter, even for a stable organization with a complex structure of budget planning","lack of ability to call for warranty letter, even for a stable organization with a complex structure of budget planning",2,0,0,0,0,0,0,0,0,0,0
49,02/10/2022 03:55:23,_1_Q06_2,R_3ELCRDhrDpP7S3b,Other Reason for Ease of Scheduling Onsite Service,Service is good; I'm satisfy,Service is good. I'm satisfy,Service is good,4,0,0,0,0,0,0,0,0,0,0
50,02/10/2022 03:55:23,_1_Q06_2,R_023D6APeXtaE9W5,Other Reason for Ease of Scheduling Onsite Service,Periodic inspection was slower than desired.,Periodic inspection was slower than desired,Periodic inspection was slower than desired,2,0,0,0,0,0,0,0,0,0,0
51,02/10/2022 03:55:23,_1_Q06_2,R_6S7vS9L510svH6d,Other Reason for Ease of Scheduling Onsite Service,"The contract specifies maximum for two days, has not been fulfilled. We get the equipment inoperable in the meantime.","The contract specifies maximum for two days, has not been fulfilled. We get the equipment inoperable in the meantime.","contract specifies maximum for two days, has not been fulfilled. We get the equipment inoperable",2,0,0,0,0,0,0,0,0,0,0
52,02/10/2022 03:55:23,_1_Q06_2,R_5pTeJV04G2HueuV,Other Reason for Ease of Scheduling Onsite Service,Several miscommunication events after repeatedly correcting Agilent about who the main contact is at our company to schedule the proper services.,Several miscommunication events after repeatedly correcting Agilent about who the main contact is at our company to schedule the proper services,Several miscommunication events after repeatedly correcting about who the main contact is at our company to schedule the proper services,2,0,0,0,0,0,0,0,0,0,0
53,02/10/2022 03:55:23,_1_Q06_2,R_cBeSOCFPIXnBB77,Other Reason for Ease of Scheduling Onsite Service,little time devoted to test the system once solved the problem,little time devoted to test the system once solved the problem,little time devoted to test the system,3,0,0,0,0,0,0,0,0,0,0
54,02/10/2022 03:55:23,_1_Q06_2,R_6JApqeea7KlsUCN,Other Reason for Ease of Scheduling Onsite Service,"In General, the procedure of the appointment is too complicated and time consuming. Other providers require no signed estimate, before someone to the appointment logs at all. This wastes unnecessary time.","In General, the procedure of the appointment is too complicated and time consuming. Other providers require no signed estimate, before someone to the appointment logs at all. This wastes unnecessary time.",the procedure of the appointment is too complicated and time consuming. This wastes unnecessary time,2,0,0,0,0,0,0,0,0,0,0
55,02/10/2022 03:55:23,_1_Q06_2,R_6o2t7NBU2l52K7H,Other Reason for Ease of Scheduling Onsite Service,Service personnel you can trust until this effort it took very much.,Service personnel you can trust until this effort it took very much,Service personnel you can trust until this effort it took very much,2,0,0,0,0,0,0,0,0,0,0
56,02/10/2022 03:55:23,_1_Q06_2,R_cVlXRQYKqiVCDit,Other Reason for Ease of Scheduling Onsite Service,"Technical difficulties which require on-site inspection need to wait for schedule meet up (subject to availability), urgent matter not able to fix on time.","Technical difficulties which require on-site inspection need to wait for schedule meet up (subject to availability), urgent matter not able to fix on time","Technical difficulties which require on-site inspection need to wait for schedule meet up (subject to availability), urgent matter not able to fix on time",2,0,0,0,0,0,0,0,0,0,0
57,02/10/2022 03:55:23,_1_Q06_2,R_cuqF662DuvuZgqh,Other Reason for Ease of Scheduling Onsite Service,"Date was changed at short notice, due to lack of engineer.","Date was changed at short notice, due to lack of engineer","Date was changed at short notice, due to lack of engineer",2,0,0,0,0,0,0,0,0,0,0
58,02/10/2022 03:55:23,_1_Q06_2,R_54GFanoSqj6L0jj,Other Reason for Ease of Scheduling Onsite Service,Have to go through Agilent to get to scheduler to get to FSE,Have to go through Agilent to get to scheduler to get to FSE,Have to go through Agilent to get to scheduler to get to FSE,2,0,0,0,0,0,0,0,0,0,0
59,02/10/2022 03:55:23,_1_Q06_2,R_9tdRHPsCSCQpjSt,Other Reason for Ease of Scheduling Onsite Service,Long periods up to date maintenance counseling.,Long periods up to date maintenance counseling,Long periods up to date maintenance counseling,2,0,0,0,0,0,0,0,0,0,0
60,02/10/2022 03:55:23,_1_Q06_2,R_bx6eDnriVvF33Ap,Other Reason for Ease of Scheduling Onsite Service,engineer arrived unannounced and unsceduled to fit part which had not been recieved,engineer arrived unannounced and unscheduled to fit part which has not been received,engineer arrived unannounced and unscheduled to fit part which has not been received,2,0,0,0,0,0,0,0,0,0,0
61,02/10/2022 03:55:23,_1_Q06_2,R_6Mgvck5LPmPw4F7,Other Reason for Ease of Scheduling Onsite Service,"Do we still have the maintenance contract, the service was conducted in order to provide a service (OPS) and this mode does not have priority.","Do we still have the maintenance contract, the service was conducted in order to provide a service (OPS) and this mode does not have priority","Do we still have the maintenance contract, the service was conducted in order to provide a service (OPS) and this mode does not have priority",3,0,0,0,0,0,0,0,0,0,0
62,02/10/2022 03:55:22,_1_Q06_TR,R_eDQoiaWNebRaOhL,Other Reason for Quality of Information to Support Decision Making,Demora no envio de orçamento e resposta técnica,Delay in sending quotes and technical response,Delay in sending quotes and technical response,2,0,0,0,0,0,0,0,0,0,0
63,02/10/2022 03:55:22,_1_Q06_TR,R_d6jRgGAj10bnmDP,Other Reason for Quality of Information to Support Decision Making,??????????????????,Information regarding maintenance contract could not be obtained,Information regarding maintenance contract could not be obtained,2,0,0,0,0,0,0,0,0,0,0
64,02/10/2022 03:55:22,_1_Q06_TR,R_81eaVvmvyHUCx13,Other Reason for Quality of Information to Support Decision Making,???????????????????????????????????,No clear solutions were provided for application bug issues,No clear solutions were provided for application bug issues,2,0,0,0,0,0,0,0,0,0,0
65,02/10/2022 03:55:22,_1_Q06_TR,R_6LRJeOsxcKcu709,Other Reason for Quality of Information to Support Decision Making,???????????????????????????????????,"Since I was purchasing a successor to the device I was originally using, I hadn't considered anything else","Since I was purchasing a successor to the device I was originally using, I hadn't considered anything else",3,0,0,0,0,0,0,0,0,0,0
66,02/10/2022 03:55:09,_1_Q04_2,R_0qR7v3d0m709qcd,Instrument: Other Reason for Technical Performance,The use does not differ from the original fakhrueang version that existed previously.,The use does not differ from the original version that existed previously,The use does not differ from the original version that existed previously,3,0,0,0,0,0,0,0,0,0,0
67,02/10/2022 03:55:09,_1_Q04_2,R_3n49aEtfNOXRDDv,Instrument: Other Reason for Technical Performance,"ICP ignition difficult, argon pressure difficult to adjust in the right range.","ICP ignition difficult, argon pressure difficult to adjust in the right range","ICP ignition difficult, argon pressure difficult to adjust in the right range",2,0,0,0,0,0,0,0,0,0,0
68,02/10/2022 03:55:09,_1_Q04_2,R_8tVTUmxPMqePxf7,Instrument: Other Reason for Technical Performance,"already, a technician must come for the 2nd time, to repair the HS 7967A","already, a technician must come for the 2nd time, to repair the HS 7967A","technician came for the 2nd time, to repair",3,0,0,0,0,0,0,0,0,0,0
69,02/10/2022 03:55:09,_1_Q04_2,R_9tdydFcui9VyXc1,Instrument: Other Reason for Technical Performance,Service from service person is very poor. No response in case of emergency.,Service from service person is very poor. No response in case of emergency,Service from service person is very poor. No response in case of emergency,1,0,0,0,0,0,0,0,0,0,0
70,02/10/2022 03:55:09,_1_Q04_2,R_dpvSP0oGVXRNlnD,Instrument: Other Reason for Technical Performance,Change of software. Very different from previous version so takes time to learn.,Change of software. Very different from previous version so takes time to learn,Change of software. Very different from previous version so takes time to learn,0,0,0,0,0,0,0,0,0,0,0
71,02/10/2022 03:55:09,_1_Q04_2,R_1LjqYAZDjNTXqHH,Instrument: Other Reason for Technical Performance,"New version (B.09) of MassHunter Qulitative Analysis is very inconvenient to use. So, I use the old version (B. 06) only. Even, PC performance is too slow. The price of MassHunter software was ~10K, so it was a money waste.","New version (B.09) of MassHunter Qulitative Analysis is very inconvenient to use. So, I use the old version (B. 06) only. Even, PC performance is too slow. The price of MassHunter software was ~10K, so it was a money waste.",New version of MassHunter Qulitative Analysis is very inconvenient to use and was a money waste,1,0,0,0,0,0,0,0,0,0,0
72,02/10/2022 03:55:09,_1_Q04_2,R_elIee6R4Rohm0NT,Instrument: Other Reason for Technical Performance,"stir plate broke after only a few uses, also does not have a strong enough magnet to turn the standard star shaped stir bars used for similar instruments","stir plate broke after only a few uses, also does not have a strong enough magnet to turn the standard star shaped stir bars used for similar instruments",stir plate broke after only a few uses and does not have a strong enough magnet to turn the standard star shaped stir bars used for similar instruments,1,0,0,0,0,0,0,0,0,0,0
73,02/10/2022 03:55:09,_1_Q04_2,R_cFOQv7CyxQjAa33,Instrument: Other Reason for Technical Performance,"Is no doubt very simple, easy to use equipment in the relatively narrow range of quantitative, to measure the concentrations of various sample dilution with measuring equipment, other required","Is no doubt very simple, easy to use equipment in the relatively narrow range of quantitative, to measure the concentrations of various sample dilution with measuring equipment, other required","very simple, easy to use equipment in the relatively narrow range of quantitative, to measure the concentrations of various sample dilution with measuring equipment",4,0,0,0,0,0,0,0,0,0,0
74,02/10/2022 03:55:06,_1_Q04_3,R_cD4Fc7JoXlyvAfH,Other Reason for Ease of Finding Information Using Search Function Rating,specification sheets are no longer accessible,specification sheets are no longer accessible,specification sheets are no longer accessible,3,0,0,0,0,0,0,0,0,0,0
75,02/10/2022 03:55:06,_1_Q04_3,R_8kySNUDKyhDbUu9,Other Reason for Ease of Finding Information Using Search Function Rating,did not used the search function,did not used the search function,did not used the search function,3,0,0,0,0,0,0,0,0,0,0
76,02/10/2022 03:55:06,_1_Q04_3,R_bxCIvGXMD5guwsJ,Other Reason for Ease of Finding Information Using Search Function Rating,Navigation guides are not very useful.,Navigation guides are not very useful,Navigation guides are not very useful,2,0,0,0,0,0,0,0,0,0,0
77,02/10/2022 03:55:06,_1_Q04_3,R_d4Hp9PgArIPWNSJ,Other Reason for Ease of Finding Information Using Search Function Rating,it requires additional search option on every search,it requires additional search option on every search,it requires additional search option on every search,3,0,0,0,0,0,0,0,0,0,0
78,02/10/2022 03:55:08,_1_Q06_TR_1,R_8pFWF9QCY2U8m1v,Other Reason for Installing Product in Desired Timeframe,???????????????,The parts delivered were incorrect,The parts delivered were incorrect,2,0,0,0,0,0,0,0,0,0,0
79,02/10/2022 03:55:08,_1_Q06_TR_1,R_8wUt0F4Qts6ZkG1,Other Reason for Installing Product in Desired Timeframe,el problema persiste y el equipo no está en uso,The problem persists and the equipment is not in use,The problem persists and the equipment is not in use,2,0,0,0,0,0,0,0,0,0,0
80,02/10/2022 03:55:08,_1_Q06_TR_1,R_bNoumXoN0o0dWfj,Other Reason for Installing Product in Desired Timeframe,?? ??,installation error,installation error,2,0,0,0,0,0,0,0,0,0,0
81,02/10/2022 03:55:08,_1_Q06_TR_1,R_cLJSg2i2WiTKT2t,Other Reason for Installing Product in Desired Timeframe,??????????????????????????????1???????,"Due to initial defects, it took time to order parts, and it took about a month to set up","Due to initial defects, it took time to order parts",2,0,0,0,0,0,0,0,0,0,0
82,02/10/2022 03:55:08,_1_Q06_TR_1,R_cXXRN8EYhml0Llj,Other Reason for Installing Product in Desired Timeframe,"Trotz fester Terminabsprache wusste der beauftragte MA nichts von einer Installation. Erst wegen meiner Nachfrage kam dann der Monteur mit ca. 1,5 Std. Verzögerung. Hätte ich nicht nachgefragt, hätte die Installation an dem Tag nicht stattgefunden.","Despite a fixed appointment, the authorized employee knew nothing about an installation. It was only because of my inquiry that the fitter arrived with a delay of around 1.5 hours. If I hadn't asked, the installation wouldn't have taken place that day.","Despite a fixed appointment, the authorized employee knew nothing about an installation",2,0,0,0,0,0,0,0,0,0,0
83,02/10/2022 03:55:26,_1_Q05,R_1Y8oI2NjZmoVdEp,Other Reason for Availability of Information on Agilent Website,The part I was looking for was not listed on the website.,The part I was looking for was not listed on the website,The part I was looking for was not listed on the website,3,0,0,0,0,0,0,0,0,0,0
84,02/10/2022 03:55:21,_1_Q06_TR_2,R_3Q9kT52Yco7NDpz,Other Reason for Ease of Use,?????????????????????????????????,I don't know how to maintain it. There is no training available for each model,don't know how to maintain it and no training available for each model,2,0,0,0,0,0,0,0,0,0,0
85,02/10/2022 03:55:21,_1_Q06_TR_2,R_56jxcR2XXVwMFCZ,Other Reason for Ease of Use,"software bevat een fout, oplossen hiervan kost veel te veel tijd","software contains an error, solving it takes far too much time","software contains an error, solving it takes far too much time",2,0,0,0,0,0,0,0,0,0,0
86,02/10/2022 03:55:21,_1_Q06_TR_2,R_3ekbAUnNe8sZVwV,Other Reason for Ease of Use,EL EQUIPO TUVO QUE SER INSTALADO EN OTRO INSTRUMENTO POR FALTA DE PIEZAS,THE EQUIPMENT HAD TO BE INSTALLED IN ANOTHER INSTRUMENT DUE TO LACK OF PARTS,THE EQUIPMENT HAD TO BE INSTALLED IN ANOTHER INSTRUMENT DUE TO LACK OF PARTS,2,0,0,0,0,0,0,0,0,0,0
87,02/10/2022 03:55:21,_1_Q06_TR_2,R_6JY6LWRFAFnWn1r,Other Reason for Ease of Use,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????,"If you change the original method file, you will no longer be able to refer to the analysis conditions in the data file. In Shimadzu's data analysis, analysis conditions are stored in each data file, so even if the original method file is changed, the analysis conditions can be checked from the data file.","If you change the original method file, you will no longer be able to refer to the analysis conditions in the data file",3,0,0,0,0,0,0,0,0,0,0
